Year,Post-natal_Reptile_IGF2,Post-natal_Reptile_IGF1,Reptile_IGF1,Reptile_IGF2,Post-natal_non-model_IGF2,Post-natal_non-model_IGF1,Non-model_IGF2,Non-model_IGF1,IGF2,IGF1,Post-natal_no-cancer_IGF2,Post-natal_no-cancer_IGF1
2021,,,,,47,230,48,246,106,507,61,402
2020,,1,1,,75,396,90,421,322,1223,168,867
2019,,,1,,41,242,50,270,322,1277,174,869
2018,,1,2,,39,226,50,256,345,1329,154,898
2017,,1,3,1,39,234,55,262,372,1413,175,953
2016,,1,3,2,41,209,61,244,354,1411,152,958
2015,1,1,2,1,54,225,76,266,382,1523,173,986
2014,,,,,42,213,63,256,403,1596,186,1054
2013,,3,3,,57,193,74,229,417,1569,202,1028
2012,,1,2,,38,213,52,259,420,1516,183,1010
2011,,,,,47,205,65,242,436,1590,185,1054
2010,,,1,,46,174,57,207,415,1588,195,1040
2009,1,,1,1,43,180,59,206,411,1500,205,1065
2008,1,,,1,45,196,70,233,394,1510,188,1047
2007,,,,,47,195,64,234,388,1475,184,1027
2006,,,,,34,156,56,195,399,1418,210,984
2005,,,,,37,147,49,176,388,1418,192,988
2004,,,,,28,140,42,156,373,1328,183,902
2003,,,,,44,170,57,207,368,1287,179,915
2002,,,,,35,148,44,176,348,1266,196,916
2001,,,,,40,155,57,184,389,1282,198,925
2000,,,,,39,162,56,190,377,1261,205,923
1999,,,,,36,140,48,162,436,1309,250,1001
1998,,,,,39,151,52,177,402,1280,220,958
1997,,,,,38,135,48,177,405,1245,235,956
1996,,,1,,36,155,54,191,442,1211,243,908
1995,1,1,2,1,41,140,58,170,397,1115,202,837
1994,,,,,35,143,42,164,389,1080,229,828
1993,,,1,,34,123,49,142,434,1014,237,735
1992,,,,,33,111,42,125,327,843,192,638
1991,,,,,33,139,45,160,309,844,183,638
1990,1,1,1,1,18,87,22,107,239,679,138,492
1989,,,,,17,71,24,87,211,613,122,445
1988,,,,,17,58,20,70,205,483,114,340
1987,1,2,2,1,11,40,16,48,156,343,98,265
1986,,,,,9,17,12,20,127,277,79,205
1985,,,,,5,8,9,12,83,147,55,120
1984,,,,,6,6,7,8,63,62,44,51
1983,,,,,2,1,4,2,40,43,20,32
1982,,,,,3,1,3,1,31,39,21,29
1981,,,,,3,4,3,4,30,34,20,30
1980,,,,,,1,3,1,23,13,10,10
1979,,,,,,,1,,2,3,1,3
1978,,,,,,,,,2,3,1,2
1977,,,,,,,,,,,,
1976,,,,,,,,,2,,1,