"individual","group","observation","value"
"Rufous-fronted Bushtit","Aves","IGF1.plot",0.044
"Cottonmouth ","Squamates","IGF1.plot",0.082
"Giant Panda","Eutheria","IGF1.plot",0.1225
"American Alligator","Crocodilian","IGF1.plot",0.02
"Mallard ","Aves","IGF1.plot",0.381
"Brown Anole","Squamates","IGF1.plot",0.475
"Sichuan Partridge","Aves","IGF1.plot",0
"Ruby-throated Hummingbird","Aves","IGF1.plot",0.01
"Jamaican Fruit Bat","Eutheria","IGF1.plot",0.929
"Four-toed Hedgehog","Eutheria","IGF1.plot",0.9925
"Brown Basilisk","Squamates","IGF1.plot",0.945
"Cow","Eutheria","IGF1.plot",0.19475
"Water Buffalo","Eutheria","IGF1.plot",0.05425
"Muscovy Duck","Aves","IGF1.plot",0.1185
"Common Marmoset","Eutheria","IGF1.plot",0.51825
"New Guinea Ground Boa","Squamates","IGF1.plot",0.096
"Dog","Eutheria","IGF1.plot",0.00075
"Western Pygmy Possum","Methatheria","IGF1.plot",0.183
"Common Snapping Turtle","Testudines","IGF1.plot",0
"Green Monkey","Eutheria","IGF1.plot",0.601333333333333
"Striped Possum","Methatheria","IGF1.plot",0.61
"Nine-banded Armadillo","Eutheria","IGF1.plot",0.4995
"Emu","Aves","IGF1.plot",0.746
"Lesser Hedgehog Tenrec","Eutheria","IGF1.plot",0.193
"Palestine Saw-scaled Viper","Squamates","IGF1.plot",0.199
"Southern Alligator Lizard","Squamates","IGF1.plot",0.038
"Horse","Eutheria","IGF1.plot",0.5045
"European Hedgehog","Eutheria","IGF1.plot",1
"Common Leopard Gecko","Squamates","IGF1.plot",0.55
"Little Greenbul","Aves","IGF1.plot",0.198
"Cat","Eutheria","IGF1.plot",0.65675
"Collared Flycatcher","Aves","IGF1.plot",0.3815
"European Pied Flycatcher","Aves","IGF1.plot",0.433
"Chicken","Aves","IGF1.plot",0.1025
"Long-nosed Leopard Lizard","Squamates","IGF1.plot",0.666
"Human","Eutheria","IGF1.plot",0.499333333333333
"Green Iguana","Squamates","IGF1.plot",0.537
"Southern Brown Bandicoot","Methatheria","IGF1.plot",0.098
"Mountain Hare","Eutheria","IGF1.plot",0.44025
"Bengalese Finch","Aves","IGF1.plot",0.984
"Grey Crested Tit","Aves","IGF1.plot",0.047
"Rhesus Macaque","Eutheria","IGF1.plot",0.636
"Diamondback Terrapin","Testudines","IGF1.plot",0.023
"Sunda Pangolin","Eutheria","IGF1.plot",0.07325
"Gray short-tailed oppossum","Methatheria","IGF1.plot",0.995
"Ghost-faced Bat","Eutheria","IGF1.plot",0.469333333333333
"House Mouse","Eutheria","IGF1.plot",0.999567567567568
"House Mouse","Eutheria","IGF1.plot",0.999948717948718
"Hairy-legged Myotis","Eutheria","IGF1.plot",0.616333333333333
"Chilean Tinamou","Aves","IGF1.plot",0
"Broad-eared Bat","Eutheria","IGF1.plot",0.976666666666667
"Platypus","Monotreme","IGF1.plot",0.202
"Sheep","Eutheria","IGF1.plot",0.23925
"Yellow-bellied Tit","Aves","IGF1.plot",0.184333333333333
"Chinese Softshell Turtle","Testudines","IGF1.plot",0.196
"West African Mud Turtle","Testudines","IGF1.plot",0.019
"Long-nosed Bandicoot","Methatheria","IGF1.plot",0.037
"Rufous-vented Tit","Aves","IGF1.plot",0.082
"Lesser Dog-like Bat","Eutheria","IGF1.plot",0.419666666666667
"Marsh Tit","Aves","IGF1.plot",0.214
"Central Bearded Dragon","Squamates","IGF1.plot",0.007
"Black Flying Fox","Eutheria","IGF1.plot",0.8585
"Brown Rat","Eutheria","IGF1.plot",0.99925
"Egyptian Fruit Bat","Eutheria","IGF1.plot",0.993
"Tasmanian devil","Methatheria","IGF1.plot",0.084
"Eastern Fence Lizard","Squamates","IGF1.plot",0.093
"Little Brown Skink","Squamates","IGF1.plot",0.002
"Atlantic Canary","Aves","IGF1.plot",0.373
"Common Musk Turtle","Testudines","IGF1.plot",0.017
"Asian House Shrew","Eutheria","IGF1.plot",1
"Wild Boar","Eutheria","IGF1.plot",0.0195
"Mexican Free-tailed Bat","Eutheria","IGF1.plot",0.956666666666667
"Asian Grass Lizard","Squamates","IGF1.plot",0.033
"Common Box Turtle","Testudines","IGF1.plot",0.013
"Sierra Garter Snake","Squamates","IGF1.plot",0.054
"Western terrestrial garter snake","Squamates","IGF1.plot",0.0265
"Red-eared Slider","Testudines","IGF1.plot",0.036
"Northern Treeshrew","Eutheria","IGF1.plot",0.292
"Brown Bear","Eutheria","IGF1.plot",0.46325
"Common Wombat","Methatheria","IGF1.plot",0.1195
"Sunbeam Snake","Squamates","IGF1.plot",0.045
"White-throated Sparrow","Aves","IGF1.plot",0.8215
"Rufous-fronted Bushtit","Aves","IGF2.plot",0.956
"Cottonmouth ","Squamates","IGF2.plot",0.918
"Giant Panda","Eutheria","IGF2.plot",0.8775
"American Alligator","Crocodilian","IGF2.plot",0.98
"Mallard ","Aves","IGF2.plot",0.619
"Brown Anole","Squamates","IGF2.plot",0.525
"Sichuan Partridge","Aves","IGF2.plot",1
"Ruby-throated Hummingbird","Aves","IGF2.plot",0.99
"Jamaican Fruit Bat","Eutheria","IGF2.plot",0.071
"Four-toed Hedgehog","Eutheria","IGF2.plot",0.0075
"Brown Basilisk","Squamates","IGF2.plot",0.055
"Cow","Eutheria","IGF2.plot",0.80525
"Water Buffalo","Eutheria","IGF2.plot",0.94575
"Muscovy Duck","Aves","IGF2.plot",0.8815
"Common Marmoset","Eutheria","IGF2.plot",0.48175
"New Guinea Ground Boa","Squamates","IGF2.plot",0.904
"Dog","Eutheria","IGF2.plot",0.99925
"Western Pygmy Possum","Methatheria","IGF2.plot",0.817
"Common Snapping Turtle","Testudines","IGF2.plot",1
"Green Monkey","Eutheria","IGF2.plot",0.398666666666667
"Striped Possum","Methatheria","IGF2.plot",0.39
"Nine-banded Armadillo","Eutheria","IGF2.plot",0.5005
"Emu","Aves","IGF2.plot",0.254
"Lesser Hedgehog Tenrec","Eutheria","IGF2.plot",0.807
"Palestine Saw-scaled Viper","Squamates","IGF2.plot",0.801
"Southern Alligator Lizard","Squamates","IGF2.plot",0.962
"Horse","Eutheria","IGF2.plot",0.4955
"European Hedgehog","Eutheria","IGF2.plot",0
"Common Leopard Gecko","Squamates","IGF2.plot",0.45
"Little Greenbul","Aves","IGF2.plot",0.802
"Cat","Eutheria","IGF2.plot",0.34325
"Collared Flycatcher","Aves","IGF2.plot",0.6185
"European Pied Flycatcher","Aves","IGF2.plot",0.567
"Chicken","Aves","IGF2.plot",0.8975
"Long-nosed Leopard Lizard","Squamates","IGF2.plot",0.334
"Human","Eutheria","IGF2.plot",0.500666666666667
"Green Iguana","Squamates","IGF2.plot",0.463
"Southern Brown Bandicoot","Methatheria","IGF2.plot",0.902
"Mountain Hare","Eutheria","IGF2.plot",0.55975
"Bengalese Finch","Aves","IGF2.plot",0.016
"Grey Crested Tit","Aves","IGF2.plot",0.953
"Rhesus Macaque","Eutheria","IGF2.plot",0.364
"Diamondback Terrapin","Testudines","IGF2.plot",0.977
"Sunda Pangolin","Eutheria","IGF2.plot",0.92675
"Gray short-tailed oppossum","Methatheria","IGF2.plot",0.005
"Ghost-faced Bat","Eutheria","IGF2.plot",0.530666666666667
"House Mouse","Eutheria","IGF2.plot",0.000432432432432432
"House Mouse","Eutheria","IGF2.plot",5.12820512820513e-05
"Hairy-legged Myotis","Eutheria","IGF2.plot",0.383666666666667
"Chilean Tinamou","Aves","IGF2.plot",1
"Broad-eared Bat","Eutheria","IGF2.plot",0.0233333333333333
"Platypus","Monotreme","IGF2.plot",0.798
"Sheep","Eutheria","IGF2.plot",0.76075
"Yellow-bellied Tit","Aves","IGF2.plot",0.815666666666667
"Chinese Softshell Turtle","Testudines","IGF2.plot",0.804
"West African Mud Turtle","Testudines","IGF2.plot",0.981
"Long-nosed Bandicoot","Methatheria","IGF2.plot",0.963
"Rufous-vented Tit","Aves","IGF2.plot",0.918
"Lesser Dog-like Bat","Eutheria","IGF2.plot",0.580333333333333
"Marsh Tit","Aves","IGF2.plot",0.786
"Central Bearded Dragon","Squamates","IGF2.plot",0.993
"Black Flying Fox","Eutheria","IGF2.plot",0.1415
"Brown Rat","Eutheria","IGF2.plot",0.00075
"Egyptian Fruit Bat","Eutheria","IGF2.plot",0.007
"Tasmanian devil","Methatheria","IGF2.plot",0.916
"Eastern Fence Lizard","Squamates","IGF2.plot",0.907
"Little Brown Skink","Squamates","IGF2.plot",0.998
"Atlantic Canary","Aves","IGF2.plot",0.627
"Common Musk Turtle","Testudines","IGF2.plot",0.983
"Asian House Shrew","Eutheria","IGF2.plot",0
"Wild Boar","Eutheria","IGF2.plot",0.9805
"Mexican Free-tailed Bat","Eutheria","IGF2.plot",0.0433333333333333
"Asian Grass Lizard","Squamates","IGF2.plot",0.967
"Common Box Turtle","Testudines","IGF2.plot",0.987
"Sierra Garter Snake","Squamates","IGF2.plot",0.946
"Western terrestrial garter snake","Squamates","IGF2.plot",0.9735
"Red-eared Slider","Testudines","IGF2.plot",0.964
"Northern Treeshrew","Eutheria","IGF2.plot",0.708
"Brown Bear","Eutheria","IGF2.plot",0.53675
"Common Wombat","Methatheria","IGF2.plot",0.8805
"Sunbeam Snake","Squamates","IGF2.plot",0.955
"White-throated Sparrow","Aves","IGF2.plot",0.1785
